x1,x2,x3,,,,starpiba X1,starpiba X2,Starpiba X3
-0.01,0.00200,0.00,-1.03994722,1.25370638,-0.12532982,1.03,-1.25,0.12
-0.02,0.00400,0.00,-1.03994722,1.25370638,-0.12532982,1.02,-1.25,0.12
-0.03,0.00600,0.00,-1.03994722,1.25370638,-0.12532982,1.01,-1.25,0.12
-0.04,0.00800,0.00,-1.03994722,1.25370638,-0.12532982,1.00,-1.25,0.12
-0.05,0.01,0.00,-1.03994722,1.25370638,-0.12532982,0.99,-1.24,0.12
-0.06,0.01,-0.01,-1.03994722,1.25370638,-0.12532982,0.98,-1.24,0.12
-0.07,0.01,-0.01,-1.03994722,1.25370638,-0.12532982,0.97,-1.24,0.12
-0.08,0.02,-0.01,-1.03994722,1.25370638,-0.12532982,0.96,-1.24,0.12
-0.09,0.02,-0.01,-1.03994722,1.25370638,-0.12532982,0.95,-1.24,0.12
-0.10,0.02,-0.01,-1.03994722,1.25370638,-0.12532982,0.94,-1.23,0.12
-0.11,0.02,-0.01,-1.03994722,1.25370638,-0.12532982,0.93,-1.23,0.11
-0.12,0.02,-0.01,-1.03994722,1.25370638,-0.12532982,0.92,-1.23,0.11
-0.13,0.03,-0.01,-1.03994722,1.25370638,-0.12532982,0.91,-1.23,0.11
-0.14,0.03,-0.01,-1.03994722,1.25370638,-0.12532982,0.90,-1.23,0.11
-0.15,0.03,-0.01,-1.03994722,1.25370638,-0.12532982,0.89,-1.22,0.11
-0.16,0.03,-0.02,-1.03994722,1.25370638,-0.12532982,0.88,-1.22,0.11
-0.17,0.03,-0.02,-1.03994722,1.25370638,-0.12532982,0.87,-1.22,0.11
-0.18,0.04,-0.02,-1.03994722,1.25370638,-0.12532982,0.86,-1.22,0.11
-0.19,0.04,-0.02,-1.03994722,1.25370638,-0.12532982,0.85,-1.22,0.11
-0.20,0.04,-0.02,-1.03994722,1.25370638,-0.12532982,0.84,-1.21,0.11
-0.21,0.04,-0.02,-1.03994722,1.25370638,-0.12532982,0.83,-1.21,0.10
-0.22,0.04,-0.02,-1.03994722,1.25370638,-0.12532982,0.82,-1.21,0.10
-0.23,0.05,-0.02,-1.03994722,1.25370638,-0.12532982,0.81,-1.21,0.10
-0.24,0.05,-0.02,-1.03994722,1.25370638,-0.12532982,0.80,-1.21,0.10
-0.24,0.05,-0.02,-1.03994722,1.25370638,-0.12532982,0.80,-1.20,0.10
-0.25,0.05,-0.03,-1.03994722,1.25370638,-0.12532982,0.79,-1.20,0.10
-0.26,0.05,-0.03,-1.03994722,1.25370638,-0.12532982,0.78,-1.20,0.10
-0.27,0.05,-0.03,-1.03994722,1.25370638,-0.12532982,0.77,-1.20,0.10
-0.28,0.06,-0.03,-1.03994722,1.25370638,-0.12532982,0.76,-1.20,0.10
-0.29,0.06,-0.03,-1.03994722,1.25370638,-0.12532982,0.75,-1.20,0.10
-0.30,0.06,-0.03,-1.03994722,1.25370638,-0.12532982,0.74,-1.19,0.09
-0.31,0.06,-0.03,-1.03994722,1.25370638,-0.12532982,0.73,-1.19,0.09
-0.32,0.06,-0.03,-1.03994722,1.25370638,-0.12532982,0.72,-1.19,0.09
-0.33,0.07,-0.03,-1.03994722,1.25370638,-0.12532982,0.71,-1.19,0.09
-0.33,0.07,-0.03,-1.03994722,1.25370638,-0.12532982,0.71,-1.19,0.09
-0.34,0.07,-0.04,-1.03994722,1.25370638,-0.12532982,0.70,-1.19,0.09
-0.35,0.07,-0.04,-1.03994722,1.25370638,-0.12532982,0.69,-1.18,0.09
-0.36,0.07,-0.04,-1.03994722,1.25370638,-0.12532982,0.68,-1.18,0.09
-0.37,0.07,-0.04,-1.03994722,1.25370638,-0.12532982,0.67,-1.18,0.09
-0.38,0.08,-0.04,-1.03994722,1.25370638,-0.12532982,0.66,-1.18,0.09
-0.39,0.08,-0.04,-1.03994722,1.25370638,-0.12532982,0.65,-1.18,0.09
-0.39,0.08,-0.04,-1.03994722,1.25370638,-0.12532982,0.65,-1.17,0.08
-0.40,0.08,-0.04,-1.03994722,1.25370638,-0.12532982,0.64,-1.17,0.08
-0.41,0.08,-0.04,-1.03994722,1.25370638,-0.12532982,0.63,-1.17,0.08
-0.42,0.08,-0.04,-1.03994722,1.25370638,-0.12532982,0.62,-1.17,0.08
-0.43,0.09,-0.04,-1.03994722,1.25370638,-0.12532982,0.61,-1.17,0.08
-0.43,0.09,-0.05,-1.03994722,1.25370638,-0.12532982,0.61,-1.17,0.08
-0.44,0.09,-0.05,-1.03994722,1.25370638,-0.12532982,0.60,-1.17,0.08
-0.45,0.09,-0.05,-1.03994722,1.25370638,-0.12532982,0.59,-1.16,0.08
-0.46,0.09,-0.05,-1.03994722,1.25370638,-0.12532982,0.58,-1.16,0.08
-0.46,0.09,-0.05,-1.03994722,1.25370638,-0.12532982,0.58,-1.16,0.08
-0.47,0.09,-0.05,-1.03994722,1.25370638,-0.12532982,0.57,-1.16,0.07
-0.48,0.10,-0.05,-1.03994722,1.25370638,-0.12532982,0.56,-1.16,0.07
-0.49,0.10,-0.05,-1.03994722,1.25370638,-0.12532982,0.55,-1.16,0.07
-0.49,0.10,-0.05,-1.03994722,1.25370638,-0.12532982,0.55,-1.15,0.07
-0.50,0.10,-0.05,-1.03994722,1.25370638,-0.12532982,0.54,-1.15,0.07
-0.51,0.10,-0.06,-1.03994722,1.25370638,-0.12532982,0.53,-1.15,0.07
-0.51,0.10,-0.06,-1.03994722,1.25370638,-0.12532982,0.53,-1.15,0.07
-0.52,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.52,-1.15,0.07
-0.53,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.51,-1.15,0.07
-0.53,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.51,-1.15,0.07
-0.54,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.50,-1.14,0.07
-0.55,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.49,-1.14,0.06
-0.55,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.49,-1.14,0.06
-0.56,0.11,-0.06,-1.03994722,1.25370638,-0.12532982,0.48,-1.14,0.06
-0.57,0.12,-0.06,-1.03994722,1.25370638,-0.12532982,0.47,-1.14,0.06
-0.57,0.12,-0.06,-1.03994722,1.25370638,-0.12532982,0.47,-1.14,0.06
-0.58,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.46,-1.14,0.06
-0.58,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.46,-1.13,0.06
-0.59,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.45,-1.13,0.06
-0.59,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.45,-1.13,0.06
-0.60,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.44,-1.13,0.06
-0.61,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.43,-1.13,0.06
-0.61,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.43,-1.13,0.05
-0.62,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.42,-1.13,0.05
-0.62,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.42,-1.13,0.05
-0.63,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.41,-1.12,0.05
-0.63,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.41,-1.12,0.05
-0.64,0.13,-0.08,-1.03994722,1.25370638,-0.12532982,0.40,-1.12,0.05
-0.64,0.13,-0.08,-1.03994722,1.25370638,-0.12532982,0.40,-1.12,0.05
-0.65,0.13,-0.08,-1.03994722,1.25370638,-0.12532982,0.39,-1.12,0.05
-0.65,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.39,-1.12,0.05
-0.66,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.38,-1.12,0.05
-0.66,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.38,-1.12,0.05
-0.67,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.37,-1.11,0.04
-0.67,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.37,-1.11,0.04
-0.67,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.37,-1.11,0.04
-0.68,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.36,-1.11,0.04
-0.68,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.36,-1.11,0.04
-0.69,0.15,-0.08,-1.03994722,1.25370638,-0.12532982,0.35,-1.11,0.04
-0.69,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.35,-1.11,0.04
-0.70,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.34,-1.11,0.04
-0.70,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.34,-1.10,0.04
-0.70,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.34,-1.10,0.04
-0.71,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.33,-1.10,0.04
-0.71,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.33,-1.10,0.04
-0.71,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.33,-1.10,0.03
-0.72,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.32,-1.10,0.03
-0.72,0.16,-0.09,-1.03994722,1.25370638,-0.12532982,0.32,-1.10,0.03
-0.72,0.16,-0.09,-1.03994722,1.25370638,-0.12532982,0.32,-1.10,0.03
-0.73,0.16,-0.09,-1.03994722,1.25370638,-0.12532982,0.31,-1.10,0.03
-0.73,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.31,-1.10,0.03
-0.73,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.31,-1.09,0.03
-0.74,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.30,-1.09,0.03
-0.74,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.30,-1.09,0.03
-0.74,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.30,-1.09,0.03
-0.75,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.29,-1.09,0.03
-0.75,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.29,-1.09,0.03
-0.75,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.29,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.78,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.02
-0.78,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.02
-0.78,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.02
-0.78,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.08,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.80,0.18,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.18,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.18,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.07,0.01
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.07,0.01
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.82,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.19,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.19,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.14,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
